# NASA POWER daily point,lat=-2.5547,lon=120.3242,grid_elev_m=658.23,period=19960101-20260131
DATE,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,WS10M_MAX,WS2M,PS
19960220,17.85,4.8295,-999.0,3.9288,-999.0,22.39,23.83,21.47,91.12,0.95,1.85,0.62,93.78
19960221,5.63,5.3249,-999.0,4.116,-999.0,22.37,24.15,20.66,87.77,1.17,1.96,0.73,93.77
19960222,23.94,5.443,-999.0,4.5384,-999.0,23.34,25.96,20.88,80.61,0.84,1.52,0.58,93.8
19960223,61.0,5.3539,-999.0,4.008,-999.0,23.62,26.36,21.81,86.86,1.27,2.43,0.83,93.68
19960224,35.61,6.0326,-999.0,3.5904,-999.0,23.03,25.41,21.36,90.55,0.95,1.36,0.61,93.65
19960225,34.89,4.7203,-999.0,4.1784,-999.0,23.38,26.08,21.49,88.18,0.75,1.4,0.46,93.64
19960226,20.38,4.0747,-999.0,3.4176,-999.0,23.62,26.42,21.63,84.91,0.63,0.85,0.38,93.64
19960227,6.3,5.4871,-999.0,5.0328,-999.0,23.71,27.11,21.13,82.7,1.1,1.54,0.7,93.64
19960228,1.19,6.113,-999.0,4.7832,-999.0,23.82,27.2,21.03,78.87,1.06,1.83,0.64,93.66
19960229,1.12,6.0288,-999.0,3.5136,-999.0,23.63,27.13,20.63,80.32,1.09,1.71,0.66,93.65
19960301,0.63,6.0144,-999.0,4.272,-999.0,23.84,26.9,20.77,78.98,0.81,1.52,0.51,93.67
19960302,0.34,4.1309,-999.0,3.6816,-999.0,23.69,26.82,20.6,83.37,1.04,1.54,0.64,93.57
19960303,0.85,6.2124,-999.0,3.132,-999.0,24.03,26.61,21.82,82.12,0.82,1.49,0.55,93.63
19960304,2.6,5.0606,-999.0,4.3608,-999.0,23.96,27.12,21.42,81.14,0.96,1.62,0.62,93.66
19960305,0.35,5.2548,-999.0,4.8456,-999.0,24.02,27.08,21.26,79.61,0.78,1.18,0.52,93.65
19960306,0.07,4.9219,-999.0,4.3248,-999.0,24.19,27.72,20.75,80.17,0.89,1.3,0.59,93.65
19960307,0.01,6.4025,-999.0,2.796,-999.0,24.46,28.15,21.36,79.87,1.03,1.67,0.64,93.69
19960308,0.45,6.0967,-999.0,3.2184,-999.0,24.75,27.58,22.18,82.08,0.79,1.5,0.51,93.72
19960309,1.54,6.1426,-999.0,3.288,-999.0,24.5,27.54,21.85,80.17,0.64,1.16,0.4,93.72
19960310,1.69,6.0938,-999.0,3.4128,-999.0,24.49,27.67,21.88,83.33,0.79,1.32,0.48,93.69
19960311,0.91,5.935,-999.0,4.1976,-999.0,23.79,26.15,21.65,86.01,1.03,1.6,0.61,93.76
19960312,3.09,5.5694,-999.0,3.1416,-999.0,23.71,25.39,22.64,91.85,2.19,3.42,1.32,93.86
19960313,4.57,5.3842,-999.0,4.8936,-999.0,23.58,26.19,21.31,89.14,1.3,1.68,0.82,93.86
19960314,1.6,6.5606,-999.0,3.0672,-999.0,24.58,27.82,21.62,83.39,1.26,1.63,0.8,93.76
19960315,2.28,5.5625,-999.0,4.7472,-999.0,24.01,26.74,21.61,85.77,0.8,1.38,0.52,93.76
19960316,1.3,5.9537,-999.0,4.7472,-999.0,23.9,27.56,20.95,84.79,1.32,2.14,0.84,93.68
19960317,17.2,6.319,-999.0,4.3632,-999.0,24.21,27.57,21.76,85.06,1.34,1.99,0.86,93.7
19960318,8.49,6.096,-999.0,3.984,-999.0,23.92,27.54,20.66,85.6,1.48,1.72,0.89,93.64
19960319,1.91,6.2294,-999.0,5.0568,-999.0,24.35,28.01,21.66,85.01,1.37,2.22,0.87,93.51
