# NASA POWER daily point,lat=-0.79355,lon=100.28917,grid_elev_m=81.29,period=19960101-20260131
DATE,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,WS10M_MAX,WS2M,PS
19960220,13.56,3.6924,-999.0,3.636,-999.0,26.56,27.64,25.8,83.86,1.7,2.36,1.55,100.03
19960221,10.91,3.5957,-999.0,3.3552,-999.0,27.07,28.54,26.0,82.73,1.76,3.42,1.57,99.97
19960222,4.01,4.5432,-999.0,4.2024,-999.0,26.56,27.47,25.92,82.17,3.4,5.45,2.99,100.06
19960223,15.33,4.165,-999.0,4.0824,-999.0,26.76,28.36,25.56,82.24,3.02,5.73,2.68,100.08
19960224,41.84,3.2371,-999.0,3.2184,-999.0,25.81,26.11,25.56,88.97,3.51,6.18,3.13,100.1
19960225,9.97,5.7797,-999.0,4.1688,-999.0,26.69,27.73,25.65,78.19,2.72,6.09,2.43,100.12
19960226,1.84,4.9128,-999.0,4.5768,-999.0,27.26,28.11,26.22,77.18,2.49,4.34,2.21,100.07
19960227,2.12,4.2305,-999.0,4.1016,-999.0,26.21,27.12,25.85,87.43,3.0,4.89,2.68,100.08
19960228,1.84,3.8177,-999.0,3.9072,-999.0,26.47,27.38,25.7,79.84,1.63,2.64,1.49,100.12
19960229,1.68,5.3323,-999.0,4.716,-999.0,26.67,27.93,25.45,79.15,1.86,3.0,1.72,100.1
19960301,0.81,5.412,-999.0,3.9432,-999.0,27.42,28.68,26.39,78.8,2.92,5.01,2.56,100.06
19960302,0.84,6.0274,-999.0,4.3536,-999.0,27.33,28.38,26.54,79.07,3.69,5.97,3.22,100.0
19960303,0.53,5.7492,-999.0,4.1376,-999.0,27.53,28.35,26.73,75.64,1.65,3.03,1.49,100.04
19960304,6.74,6.2251,-999.0,3.8736,-999.0,27.87,28.63,27.03,75.52,2.07,3.39,1.85,100.06
19960305,10.46,5.1089,-999.0,4.1832,-999.0,27.44,27.99,27.15,80.81,3.3,4.51,2.9,100.08
19960306,3.91,5.4377,-999.0,4.284,-999.0,26.9,27.18,26.53,82.98,2.19,3.75,1.9,100.02
19960307,9.46,4.2564,-999.0,4.1568,-999.0,27.08,27.59,26.47,86.02,3.89,4.94,3.37,100.03
19960308,7.54,5.705,-999.0,3.6072,-999.0,27.38,28.04,26.73,81.22,2.24,3.46,1.97,100.06
19960309,10.18,4.5641,-999.0,4.3608,-999.0,27.21,28.1,26.26,78.28,2.3,3.29,2.08,100.11
19960310,4.75,5.7598,-999.0,4.1928,-999.0,27.58,28.74,26.63,77.99,2.43,3.75,2.16,100.0
19960311,2.32,5.5723,-999.0,5.436,-999.0,27.26,27.61,26.68,78.35,1.32,2.04,1.2,100.01
19960312,2.55,5.6263,-999.0,5.4576,-999.0,27.47,28.16,26.9,81.73,1.62,2.56,1.51,100.05
19960313,2.51,6.0535,-999.0,4.2408,-999.0,27.95,29.12,26.83,77.95,1.61,2.67,1.46,99.94
19960314,2.65,5.7202,-999.0,5.0784,-999.0,27.22,27.95,26.64,83.94,2.28,3.84,2.03,99.95
19960315,1.48,6.2297,-999.0,4.1112,-999.0,27.84,29.36,26.28,81.05,1.99,3.56,1.77,99.82
19960316,9.26,5.3198,-999.0,5.016,-999.0,27.59,28.68,26.78,82.59,3.1,6.75,2.67,99.8
19960317,8.97,5.8877,-999.0,4.752,-999.0,27.07,28.4,25.89,81.3,3.3,4.58,2.92,99.87
19960318,9.07,5.3369,-999.0,4.7064,-999.0,26.9,27.5,26.37,85.28,3.09,4.27,2.74,99.85
19960319,25.24,4.5746,-999.0,4.2888,-999.0,26.98,27.33,26.54,86.65,4.05,5.29,3.54,99.76
19960320,17.35,5.2666,-999.0,3.8328,-999.0,26.94,27.8,26.27,85.36,4.42,5.06,3.84,99.74
19960321,15.39,3.8114,-999.0,3.7632,-999.0,26.62,27.23,26.09,88.87,3.62,5.15,3.21,99.85
19960322,14.03,6.2911,-999.0,2.6736,-999.0,27.71,29.13,26.26,79.63,2.71,4.51,2.4,99.89
19960323,6.14,5.7254,-999.0,3.9312,-999.0,28.0,29.09,26.86,78.51,2.76,3.56,2.49,99.88
19960324,5.63,5.3321,-999.0,4.548,-999.0,28.0,28.9,27.02,81.27,2.1,3.64,1.95,99.84
19960325,7.33,4.1851,-999.0,3.5616,-999.0,28.47,29.51,27.38,79.64,1.7,2.93,1.58,99.74
19960326,34.24,3.6953,-999.0,3.492,-999.0,28.07,28.95,27.17,85.1,3.04,6.0,2.71,99.64
19960327,21.18,5.431,-999.0,4.9368,-999.0,27.03,27.36,26.77,85.72,4.25,6.06,3.71,99.83
19960328,6.07,4.8545,-999.0,4.0944,-999.0,27.55,28.46,26.65,80.08,2.37,4.66,2.08,99.86
19960329,4.37,5.0815,-999.0,4.4784,-999.0,27.16,27.61,26.7,87.13,3.88,5.23,3.37,99.78
19960330,7.72,3.3696,-999.0,3.0168,-999.0,26.55,26.92,26.3,86.22,2.56,4.03,2.27,99.82
19960331,34.62,5.0042,-999.0,4.7208,-999.0,26.94,27.68,25.81,87.83,5.5,7.26,4.66,99.79
19960401,30.77,2.6064,-999.0,2.1576,-999.0,26.44,27.24,25.75,90.0,5.16,6.28,4.41,99.9
19960402,6.63,4.7258,-999.0,4.6392,-999.0,26.78,27.43,25.78,85.29,3.91,4.92,3.4,99.93
19960403,2.4,6.2009,-999.0,3.8736,-999.0,27.6,28.14,27.0,80.24,2.21,3.11,1.99,99.9
19960404,4.16,5.2421,-999.0,5.0328,-999.0,27.68,28.24,27.39,82.02,2.73,4.13,2.43,99.93
19960405,4.07,4.627,-999.0,4.3728,-999.0,28.2,29.3,27.07,75.45,2.98,3.9,2.66,99.94
19960406,3.43,4.3414,-999.0,3.7728,-999.0,27.79,28.78,26.87,81.7,1.87,3.04,1.69,99.96
19960407,5.55,5.4158,-999.0,4.1568,-999.0,27.29,27.78,26.82,84.65,3.44,5.43,3.04,100.06
19960408,14.58,3.6154,-999.0,3.1824,-999.0,26.82,27.13,26.29,84.17,3.94,7.12,3.43,100.15
19960409,4.84,6.1452,-999.0,2.748,-999.0,26.76,27.24,26.28,82.15,2.51,4.56,2.22,100.04
19960410,0.54,5.2522,-999.0,4.0344,-999.0,27.57,28.39,26.76,77.72,2.66,4.05,2.35,99.96
19960411,3.33,5.953,-999.0,3.9744,-999.0,27.19,27.91,26.04,84.12,3.02,4.18,2.67,100.02
19960412,2.83,4.0334,-999.0,3.84,-999.0,27.19,28.54,25.59,74.99,2.04,3.68,1.8,100.06
19960413,9.44,4.6495,-999.0,3.8712,-999.0,27.33,27.85,26.85,84.4,3.34,4.33,2.89,100.06
19960414,9.93,5.3664,-999.0,4.7208,-999.0,27.18,27.71,26.78,86.78,3.65,4.77,3.16,100.08
19960415,52.15,3.4589,-999.0,3.0792,-999.0,26.51,26.95,26.13,90.85,4.7,6.4,4.03,100.05
19960416,4.11,5.4425,-999.0,3.4296,-999.0,25.84,26.25,25.46,86.15,2.48,4.67,2.18,100.02
19960417,8.25,5.395,-999.0,3.3984,-999.0,26.21,26.76,25.85,84.19,1.91,3.0,1.68,100.01
19960418,41.39,5.8906,-999.0,3.8688,-999.0,26.97,27.89,25.83,83.5,2.08,3.52,1.84,99.99
19960419,12.17,4.6325,-999.0,4.0824,-999.0,26.96,27.25,26.35,87.46,4.08,5.21,3.53,99.94
19960420,5.04,5.8181,-999.0,3.876,-999.0,26.22,26.67,25.88,87.83,2.92,3.48,2.57,100.02
19960421,17.4,3.9876,-999.0,3.5664,-999.0,26.24,26.84,25.79,86.63,2.39,2.9,2.13,100.08
19960422,10.35,5.2214,-999.0,3.948,-999.0,26.23,26.71,25.81,85.8,1.92,2.2,1.69,100.12
19960423,18.18,5.562,-999.0,3.372,-999.0,26.75,27.2,26.32,84.27,2.27,3.69,2.0,100.07
19960424,10.32,4.6937,-999.0,4.6176,-999.0,26.78,27.33,26.18,84.32,3.15,4.08,2.78,100.05
19960425,2.73,5.4074,-999.0,2.6208,-999.0,26.99,27.77,25.8,81.81,1.6,2.31,1.43,99.93
19960426,7.45,4.3447,-999.0,3.5808,-999.0,27.18,27.51,26.79,86.17,3.24,4.57,2.81,99.86
19960427,33.55,5.0282,-999.0,4.452,-999.0,26.85,27.17,26.42,85.95,2.56,4.43,2.28,99.85
19960428,50.96,3.3934,-999.0,2.9568,-999.0,27.03,27.69,26.51,87.44,3.27,4.63,2.87,99.78
19960429,14.9,4.5252,-999.0,3.324,-999.0,26.63,26.87,26.33,87.53,2.77,3.82,2.42,99.78
19960430,20.77,3.7133,-999.0,3.3504,-999.0,26.83,27.4,26.11,88.52,3.92,5.56,3.4,99.81
19960501,6.43,3.6134,-999.0,3.5256,-999.0,27.71,28.9,26.41,83.27,4.69,5.73,4.02,99.81
19960502,1.47,4.8706,-999.0,4.236,-999.0,28.26,29.64,27.5,81.45,4.99,6.46,4.24,99.82
19960503,1.35,5.173,-999.0,4.3008,-999.0,27.85,28.5,27.17,79.58,3.39,5.63,2.97,100.02
19960504,1.03,5.9422,-999.0,3.2856,-999.0,28.44,29.4,27.69,74.75,3.65,5.95,3.19,100.03
19960505,0.28,5.5848,-999.0,4.104,-999.0,28.63,29.62,27.69,70.54,2.4,3.63,2.14,99.94
19960506,0.42,5.4074,-999.0,3.2208,-999.0,28.16,28.85,27.48,80.21,2.15,3.3,1.92,100.02
19960507,0.89,5.5366,-999.0,3.552,-999.0,27.96,28.46,27.23,78.27,1.74,2.39,1.53,100.15
19960508,0.17,5.5217,-999.0,4.2192,-999.0,28.06,28.91,27.38,73.73,2.91,3.86,2.57,100.13
19960509,1.2,5.3724,-999.0,3.7152,-999.0,28.1,28.9,27.38,81.05,4.41,5.91,3.81,100.06
19960510,0.68,4.4676,-999.0,4.1592,-999.0,27.84,28.17,27.3,79.32,3.38,4.47,2.96,100.15
19960511,2.94,4.675,-999.0,3.552,-999.0,28.02,28.56,27.51,76.78,3.49,4.84,3.03,100.26
19960512,2.2,5.2145,-999.0,3.8952,-999.0,27.66,28.12,27.3,79.17,1.87,2.58,1.65,100.24
19960513,0.43,5.5673,-999.0,3.6072,-999.0,27.51,28.08,27.03,78.74,2.45,3.87,2.16,100.21
19960514,0.1,5.5435,-999.0,3.6984,-999.0,27.18,27.7,26.54,78.58,1.91,2.51,1.68,100.12
19960515,0.17,4.2334,-999.0,3.7992,-999.0,28.08,28.84,27.3,71.44,2.48,3.18,2.16,100.2
19960516,0.04,5.0539,-999.0,3.3672,-999.0,28.02,28.56,27.68,72.1,2.01,3.11,1.77,100.28
19960517,0.01,6.3094,-999.0,1.524,-999.0,28.17,28.98,27.49,73.21,2.39,3.8,2.12,100.14
19960518,0.02,5.9947,-999.0,2.7096,-999.0,28.44,29.38,27.73,74.11,2.9,3.76,2.56,99.97
19960519,0.03,6.0223,-999.0,2.772,-999.0,28.47,29.14,27.92,70.33,1.73,2.86,1.53,99.95
19960520,0.1,5.6779,-999.0,2.6856,-999.0,28.13,28.73,27.72,76.07,2.31,2.98,2.04,100.06
19960521,1.41,5.2195,-999.0,3.5208,-999.0,28.15,28.84,27.24,79.32,2.93,3.78,2.56,100.07
19960522,2.74,4.1023,-999.0,3.0312,-999.0,27.57,28.16,26.87,80.97,2.07,3.33,1.83,100.06
19960523,2.94,5.1209,-999.0,3.7992,-999.0,27.26,28.05,26.33,81.3,2.09,3.13,1.87,100.03
19960524,3.2,5.1974,-999.0,4.0176,-999.0,27.59,28.21,27.27,81.12,2.71,4.12,2.4,100.08
19960525,9.82,5.033,-999.0,3.9432,-999.0,27.75,28.58,27.06,76.07,1.81,2.85,1.63,100.09
19960526,5.46,5.4504,-999.0,3.6192,-999.0,27.13,27.69,26.66,85.25,3.12,4.1,2.77,100.07
19960527,1.86,2.9021,-999.0,2.4384,-999.0,27.03,27.44,26.64,80.92,2.09,3.15,1.83,99.99
19960528,5.33,4.4198,-999.0,3.8568,-999.0,26.87,27.49,26.27,83.7,2.16,3.28,1.91,99.85
19960529,3.14,5.1922,-999.0,4.1064,-999.0,26.7,27.4,25.8,82.99,2.07,4.34,1.83,99.87
19960530,1.82,5.2452,-999.0,3.672,-999.0,27.74,28.87,26.63,82.3,2.48,3.78,2.23,99.91
19960531,5.38,4.6428,-999.0,3.8328,-999.0,28.05,28.88,27.43,81.37,1.77,2.77,1.6,99.92
19960601,6.28,4.7362,-999.0,3.6312,-999.0,27.65,28.32,26.94,83.13,1.52,2.73,1.35,99.82
19960602,49.86,4.6877,-999.0,3.8328,-999.0,27.27,27.5,27.03,87.75,3.06,4.22,2.74,99.81
19960603,17.84,5.3614,-999.0,3.852,-999.0,27.9,28.69,26.8,82.88,2.06,2.85,1.86,99.78
19960604,6.5,5.1041,-999.0,3.6504,-999.0,28.5,29.41,27.63,78.94,1.86,3.31,1.72,99.76
19960605,5.26,4.2926,-999.0,3.8424,-999.0,27.52,28.1,26.89,86.45,2.62,4.29,2.39,99.85
